5
20 50
0 17 92
0 4 -7
0 6 40
0 9 5
0 10 25
0 14 31
1 16 37
2 16 96
2 18 -1
2 19 66
2 3 -29
5 0 69
5 16 57
5 2 92
5 18 -9
6 9 41
6 13 37
6 14 33
7 10 20
8 0 61
9 18 93
9 4 -28
9 15 88
10 2 33
10 19 78
10 12 85
10 13 14
11 17 27
11 3 36
12 0 34
12 5 -19
13 16 25
13 1 35
13 5 63
13 7 78
14 3 55
15 17 96
15 5 -15
15 6 -29
16 18 15
16 13 -30
17 19 81
17 8 74
17 10 73
18 8 26
18 11 84
18 14 -11
19 1 6
19 6 74
19 15 -13
20 50
0 18 -3
0 19 67
0 12 1
1 17 89
1 6 18
2 15 80
3 2 48
3 19 42
3 11 64
3 14 57
3 15 27
4 3 -4
4 9 -11
5 4 72
6 2 -14
6 3 55
6 8 10
6 9 56
6 15 -11
7 11 81
8 6 95
10 2 39
10 12 -8
11 17 -26
11 2 36
11 18 56
11 10 2
12 17 -22
12 8 63
12 13 -17
13 3 57
13 12 90
13 15 14
14 8 93
15 12 58
15 13 54
15 14 57
16 5 68
16 7 -11
16 8 -20
16 10 41
16 11 -5
17 3 12
17 10 94
18 14 -20
19 16 33
19 1 20
19 10 32
19 11 69
19 13 45
20 50
0 16 91
0 1 -30
0 18 78
1 19 75
1 9 16
2 17 0
2 13 40
3 0 97
3 18 29
3 7 20
3 14 0
4 2 16
4 3 81
4 5 -15
4 12 62
4 13 73
5 15 86
6 1 24
6 17 99
6 2 41
6 11 12
7 17 -17
7 12 12
7 14 -19
8 0 63
9 14 -1
10 16 68
10 17 81
10 6 80
11 0 63
11 18 67
11 9 43
12 7 81
12 8 100
13 2 42
13 10 24
14 2 28
14 19 87
16 2 85
16 10 -4
17 14 43
17 15 100
18 3 43
18 4 94
18 6 91
19 0 67
19 17 7
19 4 -17
19 7 27
19 14 17
20 50
0 19 -12
0 5 -16
0 8 -17
0 13 21
0 14 62
1 7 66
2 17 97
2 4 90
2 10 65
2 12 75
3 13 -7
4 15 58
5 17 85
5 13 5
6 16 -9
6 18 -23
6 9 100
6 14 83
6 15 84
7 2 18
8 3 0
8 6 -29
8 11 36
8 13 -23
9 0 9
9 3 29
9 6 96
9 10 47
10 1 77
10 8 3
11 6 55
12 16 60
12 1 64
12 4 6
13 14 34
13 15 69
14 16 82
14 1 -7
14 3 -26
14 6 97
15 18 47
16 0 80
16 2 12
16 12 62
17 18 59
18 19 -3
18 7 -19
19 4 87
19 10 22
19 14 54
20 50
0 6 -9
0 8 8
0 15 10
1 17 34
1 3 41
1 7 66
1 13 98
3 5 68
3 11 49
3 15 -15
4 8 68
4 11 67
4 14 48
6 19 -6
6 11 66
6 12 83
7 1 43
7 10 33
8 1 -21
8 18 16
8 19 82
8 4 63
8 12 71
8 13 64
9 0 17
9 3 88
10 8 -16
10 15 22
11 16 -3
12 19 56
12 4 51
12 13 82
12 15 50
13 1 -18
13 4 54
13 7 24
14 16 -29
14 6 21
15 2 -14
16 5 95
18 1 -19
18 5 7
18 10 9
18 12 -2
18 15 81
19 5 -3
19 7 -26
19 9 68
19 10 12
19 13 73
